"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","172.19.132.179","202.203.85.88","DNS","72","Standard query 0xdf36 A www.bing.com"
"2","0.044565300","202.203.85.88","172.19.132.179","DNS","184","Standard query response 0xdf36 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME china.bing123.com A 202.89.233.100 A 202.89.233.101"
